iter	Passed	Remaining
401	15721	23386
402	15755	23339
403	15787	23289
404	15812	23231
405	15838	23173
406	15867	23118
407	15907	23081
408	15943	23037
409	15975	22989
410	16012	22947
411	16045	22899
412	16065	22834
413	16089	22773
414	16114	22715
415	16140	22659
416	16170	22607
417	16194	22548
418	16215	22484
419	16241	22429
420	16264	22368
421	16287	22308
422	16309	22246
423	16337	22194
424	16356	22128
425	16382	22073
426	16408	22019
427	16435	21965
428	16464	21913
429	16493	21863
430	16517	21806
431	16543	21751
432	16568	21695
433	16591	21637
434	16618	21585
435	16647	21535
436	16676	21485
437	16705	21434
438	16735	21386
439	16766	21339
440	16796	21290
441	16824	21239
442	16853	21190
443	16882	21140
444	16908	21088
445	16962	21070
446	16988	21016
447	17020	20971
448	17055	20930
449	17086	20883
450	17118	20838
451	17158	20803
452	17214	20786
453	17295	20800
454	17339	20768
455	17384	20739
456	17430	20710
457	17486	20694
458	17544	20678
459	17596	20657
460	17657	20645
461	17713	20627
462	17765	20604
463	17812	20576
464	17862	20552
465	17907	20520
466	17953	20491
467	18032	20498
468	18089	20480
469	18140	20456
470	18177	20415
471	18207	20367
472	18240	20323
473	18272	20276
474	18305	20232
475	18338	20187
476	18365	20136
477	18390	20082
478	18416	20031
479	18442	19979
480	18478	19937
481	18512	19894
482	18550	19855
483	18588	19817
484	18624	19776
485	18658	19733
486	18693	19691
487	18727	19648
488	18760	19604
489	18794	19561
490	18823	19513
491	18856	19469
492	18886	19423
493	18922	19382
494	18957	19340
495	18990	19297
496	19049	19278
497	19081	19234
498	19108	19185
499	19136	19136
500	19171	19094
501	19205	19052
502	19237	19007
503	19274	18968
504	19331	18948
505	19366	18906
506	19394	18858
507	19423	18811
508	19447	18760
509	19479	18715
510	19508	18668
511	19546	18629
512	19578	18586
513	19611	18543
514	19646	18502
515	19680	18459
516	19713	18417
517	19748	18376
518	19787	18339
519	19827	18302
520	19864	18263
521	19892	18215
522	19924	18172
523	19959	18131
524	19994	18090
525	20030	18050
526	20083	18025
527	20118	17984
528	20159	17949
529	20202	17915
530	20237	17874
531	20281	17841
532	20321	17804
533	20363	17770
534	20407	17737
535	20449	17702
536	20488	17665
537	20522	17623
538	20556	17581
539	20594	17543
540	20636	17508
541	20679	17474
542	20719	17438
543	20762	17403
544	20818	17380
545	20876	17358
546	20922	17327
547	20956	17285
548	20993	17246
549	21022	17199
550	21051	17154
551	21089	17116
552	21119	17071
553	21155	17031
554	21190	16990
555	21217	16943
556	21241	16894
557	21270	16848
558	21300	16803
559	21326	16756
560	21356	16712
561	21390	16671
562	21432	16635
563	21478	16604
564	21538	16583
565	21632	16587
566	21705	16576
567	21743	16537
568	21773	16492
569	21824	16464
570	21868	16430
571	21902	16388
572	21933	16344
573	21964	16301
574	21994	16256
