iter	Logloss
0	0.5213509046
1	0.3910810584
2	0.3112553497
3	0.2634296118
4	0.217852527
5	0.1866539328
6	0.1632255412
7	0.1499956464
8	0.137188566
9	0.1238465906
10	0.1140626923
11	0.1063115384
12	0.1004636065
13	0.09504451598
14	0.08988411681
15	0.08665950792
16	0.08311701014
17	0.08028153723
18	0.07754611935
19	0.07496477852
20	0.07289382332
21	0.07096245489
22	0.06887341447
23	0.06721420826
24	0.06542669031
25	0.06311340132
26	0.06190913309
27	0.06025516837
28	0.05837144931
29	0.05674084151
30	0.05566645515
31	0.05488159531
32	0.05346834518
33	0.05242896744
34	0.05158330938
35	0.05087322032
36	0.0501196342
37	0.04955140648
38	0.04862299116
39	0.04761610668
40	0.04683613417
41	0.04597940699
42	0.04522643261
43	0.04481943726
44	0.04429661266
45	0.04364191979
46	0.04327277473
47	0.04254799638
48	0.04192288733
49	0.04137291723
50	0.04093718096
51	0.04030145993
52	0.03986093415
53	0.03941299858
54	0.03900859973
55	0.03851480499
56	0.03814237684
57	0.03766318817
58	0.03702638281
59	0.03670644671
60	0.03624176648
61	0.03582963272
62	0.03549591918
63	0.03511982024
64	0.03478933321
65	0.03435755521
66	0.03397594514
67	0.03369537363
68	0.03326441895
69	0.03303059025
70	0.03274843454
71	0.03255242397
72	0.03223993058
73	0.03191574508
74	0.03175961725
75	0.03154749315
76	0.03131143541
77	0.03105318097
78	0.03079014151
79	0.0305244783
80	0.03030075479
81	0.03004296541
82	0.02983735357
83	0.02963567191
84	0.02948655928
85	0.02934952245
86	0.02917931753
87	0.02884967978
88	0.02865051659
89	0.02847466315
90	0.02828982674
91	0.02811672312
92	0.02787232323
93	0.02771927368
94	0.027600538
95	0.02744788632
96	0.02725098918
97	0.02707565056
98	0.02692522186
99	0.02673937877
100	0.02652091812
101	0.02636934053
102	0.02616947097
103	0.02604554582
104	0.02588290277
105	0.02578920119
106	0.02564064701
107	0.02544836378
108	0.02529631213
109	0.0251078315
110	0.024977003
111	0.02480738732
112	0.02470891787
113	0.02458973563
114	0.02448412647
115	0.02435341466
116	0.02419620125
117	0.02405632892
118	0.02396703875
119	0.02379555062
120	0.02369691722
121	0.02361499857
122	0.02345931154
123	0.02338366866
124	0.02321625751
125	0.0231375133
126	0.02303042596
127	0.02291511952
128	0.02283104431
129	0.02271685494
130	0.02257816533
131	0.02243424336
